brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,crawl_date,checked_baggage,hand_luggage
Vietnam Airlines,943.056 VND/khách,17:25,06 thg 5,06 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,782.244 VND/khách,16:45,06 thg 5,06 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,799.995 VND/khách,09:55,06 thg 5,06 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.090.908 VND/khách,08:55,06 thg 5,06 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.028.543 VND/khách,16:45,06 thg 5,06 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,839.895 VND/khách,09:55,06 thg 5,06 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,982.017 VND/khách,08:55,06 thg 5,06 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,982.017 VND/khách,17:25,06 thg 5,06 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,747.353 VND/khách,16:45,06 thg 5,06 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,829.920 VND/khách,09:55,06 thg 5,06 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,977.022 VND/khách,08:55,06 thg 5,06 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,977.022 VND/khách,17:25,06 thg 5,06 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Bamboo Airways,782.244 VND/khách,16:45,06 thg 5,06 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,827.925 VND/khách,09:55,06 thg 5,06 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,979.020 VND/khách,08:55,06 thg 5,06 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,993.381 VND/khách,17:25,06 thg 5,06 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,946.053 VND/khách,05:45,07 thg 5,07 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,799.995 VND/khách,09:55,07 thg 5,07 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,946.053 VND/khách,08:55,07 thg 5,07 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.138.860 VND/khách,17:25,07 thg 5,07 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",17-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,839.895 VND/khách,09:55,07 thg 5,07 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,949.050 VND/khách,05:45,07 thg 5,07 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,949.050 VND/khách,08:55,07 thg 5,07 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.161.837 VND/khách,17:25,07 thg 5,07 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.165.833 VND/khách,10:15,07 thg 5,07 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,3.060.355 VND/khách,07:30,07 thg 5,07 thg 5,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,3.766.042 VND/khách,04:55,07 thg 5,07 thg 5,07:05,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,3.979.522 VND/khách,06:00,07 thg 5,07 thg 5,08:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,4.679.512 VND/khách,08:00,07 thg 5,07 thg 5,10:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,4.839.106 VND/khách,07:00,07 thg 5,07 thg 5,09:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,829.920 VND/khách,09:55,07 thg 5,07 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,828.923 VND/khách,09:55,07 thg 5,07 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,979.020 VND/khách,05:45,07 thg 5,07 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,979.020 VND/khách,08:55,07 thg 5,07 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.154.844 VND/khách,10:15,07 thg 5,07 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.161.837 VND/khách,17:25,07 thg 5,07 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,2.922.700 VND/khách,07:30,07 thg 5,07 thg 5,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,4.839.106 VND/khách,08:00,07 thg 5,07 thg 5,10:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,4.839.106 VND/khách,07:00,07 thg 5,07 thg 5,09:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Hà Nội (HAN)
Sân bay Nội Bài",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.088.986 VND/khách,16:45,08 thg 5,08 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,835.905 VND/khách,09:55,08 thg 5,08 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.089.909 VND/khách,08:55,08 thg 5,08 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.168.830 VND/khách,17:25,08 thg 5,08 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,747.353 VND/khách,16:45,08 thg 5,08 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,829.920 VND/khách,09:55,08 thg 5,08 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.088.910 VND/khách,08:55,08 thg 5,08 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.155.843 VND/khách,17:25,08 thg 5,08 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Bamboo Airways,782.244 VND/khách,16:45,08 thg 5,08 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,828.923 VND/khách,09:55,08 thg 5,08 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.095.903 VND/khách,08:55,08 thg 5,08 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.161.837 VND/khách,17:25,08 thg 5,08 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.234.764 VND/khách,17:25,09 thg 5,09 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.314.705 VND/khách,09:55,09 thg 5,09 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.383.615 VND/khách,05:45,09 thg 5,09 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.476.756 VND/khách,08:55,09 thg 5,09 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.476.756 VND/khách,10:15,09 thg 5,09 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.319.693 VND/khách,09:55,09 thg 5,09 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.387.611 VND/khách,17:25,09 thg 5,09 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.495.503 VND/khách,08:55,09 thg 5,09 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.495.503 VND/khách,10:15,09 thg 5,09 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.577.814 VND/khách,05:45,09 thg 5,09 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.240.758 VND/khách,17:25,09 thg 5,09 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.293.758 VND/khách,09:55,09 thg 5,09 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.486.512 VND/khách,10:15,09 thg 5,09 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.498.500 VND/khách,08:55,09 thg 5,09 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.527.121 VND/khách,05:45,09 thg 5,09 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.088.986 VND/khách,16:45,10 thg 5,10 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.161.837 VND/khách,17:25,10 thg 5,10 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.179.045 VND/khách,09:55,10 thg 5,10 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.273.725 VND/khách,08:55,10 thg 5,10 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Bamboo Airways,1.072.893 VND/khách,16:45,10 thg 5,10 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.155.843 VND/khách,17:25,10 thg 5,10 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,1.177.050 VND/khách,09:55,10 thg 5,10 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.264.734 VND/khách,08:55,10 thg 5,10 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Bamboo Airways,1.145.320 VND/khách,16:45,10 thg 5,10 thg 5,17:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.158.840 VND/khách,17:25,10 thg 5,10 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.171.065 VND/khách,09:55,10 thg 5,10 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.261.737 VND/khách,08:55,10 thg 5,10 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,948.051 VND/khách,05:45,11 thg 5,11 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,948.051 VND/khách,17:25,11 thg 5,11 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,1.062.338 VND/khách,09:55,11 thg 5,11 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,1.164.834 VND/khách,08:55,11 thg 5,11 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.164.834 VND/khách,10:15,11 thg 5,11 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Đà Lạt (DLI)
Sân bay Liên Khương",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,2.020.960 VND/khách,05:00,11 thg 5,11 thg 5,06:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,2.288.290 VND/khách,06:50,11 thg 5,11 thg 5,08:10,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,2.289.288 VND/khách,09:35,11 thg 5,11 thg 5,10:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
VietJet Air,2.946.640 VND/khách,07:30,11 thg 5,11 thg 5,09:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài
Nhà ga 1",23-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,3.765.043 VND/khách,06:00,11 thg 5,11 thg 5,08:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 1 x 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,4.242.301 VND/khách,08:00,11 thg 5,11 thg 5,10:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,4.242.301 VND/khách,07:00,11 thg 5,11 thg 5,09:05,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 3","Hà Nội (HAN)
Sân bay Nội Bài",23-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,831.915 VND/khách,09:55,11 thg 5,11 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,947.052 VND/khách,05:45,11 thg 5,11 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,947.052 VND/khách,17:25,11 thg 5,11 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.155.843 VND/khách,08:55,11 thg 5,11 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
Vietnam Airlines,1.264.734 VND/khách,10:15,11 thg 5,11 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",24-04-2025,,
VietJet Air,828.923 VND/khách,09:55,11 thg 5,11 thg 5,10:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 7 kg
Vietnam Airlines,950.049 VND/khách,05:45,11 thg 5,11 thg 5,06:40,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,950.049 VND/khách,17:25,11 thg 5,11 thg 5,18:20,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 0 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.162.836 VND/khách,08:55,11 thg 5,11 thg 5,09:50,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
Vietnam Airlines,1.263.735 VND/khách,10:15,11 thg 5,11 thg 5,11:10,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga T3","Đà Lạt (DLI)
Sân bay Liên Khương",25-04-2025,Hành lý 23 kg,Hành lý xách tay 1 x 12 kg
VietJet Air,828.835 VND/khách,15:35,21 thg 4,21 thg 4,16:30,55m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Lạt (DLI)
Sân bay Liên Khương",07-04-2025,,
